time,latitude,longitude,u10,v10,u_curr,v_curr,elevation,time,target,cluster
2024-05-01 02:00:00,33.75,-7.0,-0.5731201171875,1.9079174804687469,-0.24414062,-0.09472656,176,2024-05-01 02:00:00,0,3
2024-05-01 02:00:00,33.75,-6.75,-0.4031982421875,1.9079174804687469,-0.24414062,-0.09472656,166,2024-05-01 02:00:00,0,3
2024-05-01 02:00:00,33.75,-6.5,-0.2156982421875,1.59930419921875,-0.24414062,-0.09472656,237,2024-05-01 02:00:00,0,3
2024-05-01 02:00:00,33.5,-7.5,-0.2664794921875,1.08856201171875,-0.24414062,-0.09472656,153,2024-05-01 02:00:00,0,3
2024-05-01 02:00:00,33.5,-7.25,-0.7801513671875,1.52801513671875,-0.24414062,-0.09472656,233,2024-05-01 02:00:00,0,3
2024-05-01 02:00:00,33.5,-7.0,-0.9110107421875,1.41082763671875,-0.24414062,-0.09472656,360,2024-05-01 02:00:00,0,3
2024-05-01 02:00:00,33.5,-6.75,-0.2313232421875,1.25067138671875,-0.24414062,-0.09472656,340,2024-05-01 02:00:00,0,3
2024-05-01 02:00:00,33.5,-6.5,-0.2528076171875,1.09051513671875,-0.24414062,-0.09472656,530,2024-05-01 02:00:00,0,3
2024-05-01 03:00:00,34.0,-7.5,2.3547821044921875,-0.0304718017578125,-0.25683594,-0.072265625,-120,2024-05-01 03:00:00,1,4
2024-05-01 03:00:00,34.0,-7.25,1.5510711669921875,1.7322235107421875,-0.16503906,-0.0,-110,2024-05-01 03:00:00,1,4
2024-05-01 03:00:00,34.0,-7.0,0.8987274169921875,1.9079174804687469,-0.07519531,0.005859375,-91,2024-05-01 03:00:00,0,4
2024-05-01 03:00:00,34.0,-6.75,0.3342742919921875,1.9079174804687469,-0.24414062,-0.09472656,116,2024-05-01 03:00:00,0,3
2024-05-01 03:00:00,34.0,-6.5,0.2131805419921875,1.9079174804687469,-0.24414062,-0.09472656,193,2024-05-01 03:00:00,0,3
2024-05-01 03:00:00,33.75,-7.5,0.8010711669921875,1.5164031982421875,-0.14453125,0.00390625,-60,2024-05-01 03:00:00,0,4
2024-05-01 03:00:00,33.75,-7.25,0.2043914794921875,1.8884735107421875,-0.24414062,-0.09472656,51,2024-05-01 03:00:00,0,3
2024-05-01 03:00:00,33.75,-7.0,-0.3502960205078125,1.9079174804687469,-0.24414062,-0.09472656,176,2024-05-01 03:00:00,0,3
2024-05-01 03:00:00,33.75,-6.75,-0.2575225830078125,1.8962860107421875,-0.24414062,-0.09472656,166,2024-05-01 03:00:00,0,3
2024-05-01 03:00:00,33.75,-6.5,-0.0856475830078125,1.5935516357421875,-0.24414062,-0.09472656,237,2024-05-01 03:00:00,0,3
2024-05-01 03:00:00,33.5,-7.5,0.0559539794921875,1.1765594482421875,-0.24414062,-0.09472656,153,2024-05-01 03:00:00,0,3
2024-05-01 03:00:00,33.5,-7.25,-0.5358428955078125,1.4900360107421875,-0.24414062,-0.09472656,233,2024-05-01 03:00:00,0,3
2024-05-01 03:00:00,33.5,-7.0,-0.6911163330078125,1.3914031982421875,-0.24414062,-0.09472656,360,2024-05-01 03:00:00,0,3
2024-05-01 03:00:00,33.5,-6.75,-0.1325225830078125,1.1121063232421875,-0.24414062,-0.09472656,340,2024-05-01 03:00:00,0,3
2024-05-01 03:00:00,33.5,-6.5,-0.1559600830078125,0.9451141357421875,-0.24414062,-0.09472656,530,2024-05-01 03:00:00,0,3
2024-05-01 04:00:00,34.0,-7.5,2.716094970703125,0.333770751953125,-0.23632812,-0.064453125,-120,2024-05-01 04:00:00,1,4
2024-05-01 04:00:00,34.0,-7.25,1.956329345703125,1.9079174804687469,-0.15625,0.015625,-110,2024-05-01 04:00:00,1,4
2024-05-01 04:00:00,34.0,-7.0,1.227813720703125,1.9079174804687469,-0.057617188,0.016601562,-91,2024-05-01 04:00:00,0,4
2024-05-01 04:00:00,34.0,-6.75,0.598907470703125,1.9079174804687469,-0.24414062,-0.09472656,116,2024-05-01 04:00:00,0,3
2024-05-01 04:00:00,34.0,-6.5,0.421173095703125,1.9079174804687469,-0.24414062,-0.09472656,193,2024-05-01 04:00:00,0,3
2024-05-01 04:00:00,33.75,-7.5,1.214141845703125,1.690216064453125,-0.13476562,0.03125,-60,2024-05-01 04:00:00,0,4
2024-05-01 04:00:00,33.75,-7.25,0.548126220703125,1.9079174804687469,-0.24414062,-0.09472656,51,2024-05-01 04:00:00,0,3
2024-05-01 04:00:00,33.75,-7.0,-0.079803466796875,1.9079174804687469,-0.24414062,-0.09472656,176,2024-05-01 04:00:00,0,3
2024-05-01 04:00:00,33.75,-6.75,-0.058319091796875,1.893341064453125,-0.24414062,-0.09472656,166,2024-05-01 04:00:00,0,3
2024-05-01 04:00:00,33.75,-6.5,0.044219970703125,1.661895751953125,-0.24414062,-0.09472656,237,2024-05-01 04:00:00,0,3
2024-05-01 04:00:00,33.5,-7.5,0.376251220703125,1.183380126953125,-0.24414062,-0.09472656,153,2024-05-01 04:00:00,0,3
2024-05-01 04:00:00,33.5,-7.25,-0.290740966796875,1.442169189453125,-0.24414062,-0.09472656,233,2024-05-01 04:00:00,0,3
2024-05-01 04:00:00,33.5,-7.0,-0.456756591796875,1.336700439453125,-0.24414062,-0.09472656,360,2024-05-01 04:00:00,0,3
2024-05-01 04:00:00,33.5,-6.75,-0.026092529296875,1.191192626953125,-0.24414062,-0.09472656,340,2024-05-01 04:00:00,0,3
